id,name,address,port,
1,skynode1.eecs.umich.edu,141.212.114.57,4000,
2,skynode2.eecs.umich.edu,141.212.114.214,4000,
3,skynode3.eecs.umich.edu,141.212.114.212,4000,
4,skynode4.eecs.umich.edu,141.212.114.47,4000,
5,skynode5.eecs.umich.edu,141.212.114.213,4000,
6,skynode6.eecs.umich.edu,141.212.114.46,4000,
7,skynode7.eecs.umich.edu,141.212.114.45,4000,
8,skynode8.eecs.umich.edu,141.212.114.215,4000,
9,skynode9.eecs.umich.edu,141.212.114.44,4000,
10,skynode10.eecs.umich.edu,141.212.114.216,4000,
11,skynode11.eecs.umich.edu,141.212.114.43,4000,
12,skynode12.eecs.umich.edu,141.212.114.234,4000,
13,skynode13.eecs.umich.edu,141.212.114.42,4000,
14,skynode14.eecs.umich.edu,141.212.114.218,4000,
15,skynode15.eecs.umich.edu,141.212.114.41,4000,
16,skynode16.eecs.umich.edu,141.212.114.219,4000,
17,skynode17.eecs.umich.edu,141.212.114.40,4000,
18,skynode18.eecs.umich.edu,141.212.114.220,4000,
19,skynode19.eecs.umich.edu,141.212.114.39,4000,
20,skynode20.eecs.umich.edu,141.212.114.221,4000,
